caso_id,cat,tomo,cambio,old_outcome,new_outcome,old_vp,new_vp,old_n_jueces,new_n_jueces,old_por_ello,new_por_ello,new_variante,new_firma_raw,new_jueces,new_idx,apertura_rel,ventana
330_p2090,A2,330,sin_cambio,procedente,procedente,sin_firma,sin_firma,0,0,"Por ello, con el alcance que surge de fs. 472/472 vta., se declara procedente el","Por ello, con el alcance que surge de fs. 472/472 vta., se declara procedente el",por_ello,,,89,76,76-92
330_p1350,A2,330,sin_cambio,procedente,procedente,sin_firma,sin_firma,0,0,"Por ello, de conformidad con lo dictaminado por el señor Procura- dor Fiscal, se","Por ello, de conformidad con lo dictaminado por el señor Procura- dor Fiscal, se",por_ello,,,201,194,194-206
330_p1950,A1,330,mejora_gano_firma,otro,otro,sin_firma,disidencia,0,5,de conformidad con lo dispuesto en el segundo párrafo del artículo 21 del Reglam,"Por ello, Se Resuelve: Avocar las actuaciones, dejar sin efecto la medida discip",por_ello,RICARDO LUIS LORENZETTI — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN CARLOS MAQUEDA — CARMEN M. ARGIBAY (en disi,Lorenzetti | Fayt | Petracchi | Maqueda | Argibay,342,,0-352
330_p2748,A1,330,mejora_gano_firma,otro,otro,sin_firma,disidencia,0,7,"Por ello expresa que, a partir de ese momento, se encontró impedi- do de operar ","Por ello, y lo dispuesto por el art. 1112 y concordantes del Código Civil se dec",por_ello,RICARDO LUIS LORENZETTI (en disidencia parcial) — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRAC,Lorenzetti | Highton de Nolasco | Fayt | Petracchi | Maqueda | Zaffaroni | Argibay,643,102,102-655
330_p1389,A2,330,sin_cambio,procedente,procedente,sin_firma,sin_firma,0,0,"Por ello, de conformidad con el mencionado dictamen, se declara procedente el re","Por ello, de conformidad con el mencionado dictamen, se declara procedente el re",por_ello,,,135,127,127-141
330_p2268,A3,330,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por ello, oído el señor Procurador Fiscal subrogante, se resuelve: Declarar la i","Por ello, oído el señor Procurador Fiscal subrogante, se resuelve: Declarar la i",por_ello,,,234,122,122-238
330_p2470,A2,330,sin_cambio,originaria,originaria,sin_firma,sin_firma,0,0,"Por ello, y de conformidad con lo dictaminado por la señora Procu- radora Fiscal","Por ello, y de conformidad con lo dictaminado por la señora Procu- radora Fiscal",por_ello,,,299,141,141-309
330_p1823,A3,330,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,Por los fundamentos y conclusiones del dictamen del señor Procu- rador Fiscal a ,Por los fundamentos y conclusiones del dictamen del señor Procu- rador Fiscal a ,por_los_fund,,,110,107,107-119
330_p1436,A2,330,sin_cambio,confirma,confirma,sin_firma,sin_firma,0,0,"Por ello, oído el señor Procurador Fiscal de la Corte, se confirma la sentencia ","Por ello, oído el señor Procurador Fiscal de la Corte, se confirma la sentencia ",por_ello,,,439,165,165-449
330_p1814,A3,330,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por ello, se resuelve: 1. Admitir el desistimiento formulado con relación a la c","Por ello, se resuelve: 1. Admitir el desistimiento formulado con relación a la c",por_ello,,,74,27,27-76
330_p1620,A2,330,sin_cambio,competencia,competencia,sin_firma,sin_firma,0,0,"De conformidad con lo dictaminado por la señora Procuradora Fis- cal subrogante,","De conformidad con lo dictaminado por la señora Procuradora Fis- cal subrogante,",de_conformidad,,,84,81,81-94
330_p2049,A1,330,mejora_gano_firma,otro,otro,sin_firma,disidencia,0,6,Por todo ello pide que se declare la improcedencia de la pretensión fiscal de la,"Por ello, y de conformidad con lo dictaminado por el señor Procu- rador Fiscal s",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (en disidencia) — ENRIQUE SANTIAGO PETRACCHI — JU,Lorenzetti | Highton de Nolasco | Fayt | Petracchi | Maqueda | Argibay,330,195,195-345
330_p1854,A3,330,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por ello, se declara la caducidad de la instancia. Con costas.","Por ello, se declara la caducidad de la instancia. Con costas.",por_ello,,,49,,0-51
330_p1398,A2,330,sin_cambio,hace_lugar,hace_lugar,sin_firma,sin_firma,0,0,"Por ello, se hace lugar al recurso extraordinario y se deja sin efecto la senten","Por ello, se hace lugar al recurso extraordinario y se deja sin efecto la senten",por_ello,,,134,125,125-144
330_p3379,A3,330,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por ello, oído el señor Procurador General de la Nación, el Tribu- nal resuelve:","Por ello, oído el señor Procurador General de la Nación, el Tribu- nal resuelve:",por_ello,,,863,796,796-869
330_p3248,A1,330,mejora_gano_firma,otro,procedente,sin_firma,disidencia,0,6,"Por ello tratándose el sub lite de la investigación de esa clase de delitos, cua",Por ello se declara procedente el recurso extraordinario y se con- firma la sent,por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (en disidencia) — JUAN CARLOS MAQUEDA — E. RAÚL Z,Lorenzetti | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Argibay,2410,1492,1492-2415
330_p2877,A2,330,sin_cambio,abstracto,abstracto,sin_firma,sin_firma,0,0,"Por ello, y oído el señor Procurador Fiscal subrogante, se resuelve: I) declarar","Por ello, y oído el señor Procurador Fiscal subrogante, se resuelve: I) declarar",por_ello,,,576,454,454-583
330_p3471,A2,330,sin_cambio,revoca,revoca,sin_firma,sin_firma,0,0,"Por ello, y de conformidad con lo expresado en aquel dictamen, se revoca la sent","Por ello, y de conformidad con lo expresado en aquel dictamen, se revoca la sent",por_ello,,,226,214,214-232
330_p3494,A1,330,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,Por ello y en lo pertinente lo dictaminado por la señora Procurado-,Por ello y en lo pertinente lo dictaminado por la señora Procurado-,por_ello,,,288,214,214-289
