caso_id_canonico,tomo,n_lineas,es_techo_corta,pe_idx_bl,pe_tier_bl,vp_bl,bl_outcome,pe_idx_b067,pe_tier_b067,vp_b067,tier3_fired,inicio_votos_indiv,inicio_busqueda,fin_busqueda_con_techo
329_p212,329,131,False,118,tier1_validado,unanime,otro,118,tier1_validado,unanime,False,,115,131
329_p215,329,103,False,91,tier1_validado,unanime,otro,91,tier1_validado,unanime,False,,28,103
329_p218,329,135,False,118,tier1_validado,unanime,otro,118,tier1_validado,unanime,False,,95,135
329_p222,329,78,False,61,tier1_validado,unanime,otro,61,tier1_validado,unanime,False,,14,78
329_p224,329,175,False,164,tier1_validado,unanime,otro,164,tier1_validado,unanime,False,,114,175
329_p229,329,92,False,83,tier1_validado,unanime,competencia,83,tier1_validado,unanime,False,,80,92
329_p231,329,84,False,71,tier1_validado,unanime,competencia,71,tier1_validado,unanime,False,,68,84
329_p234,329,100,False,88,tier1_validado,unanime,competencia,88,tier1_validado,unanime,False,,85,100
329_p237,329,20,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,20,20
329_p239,329,82,False,65,tier1_validado,unanime,otro,65,tier1_validado,unanime,False,,11,82
329_p241,329,88,False,77,tier1_validado,unanime,otro,77,tier1_validado,unanime,False,,74,88
329_p243,329,15,False,4,tier1_validado,unanime,otro,4,tier1_validado,unanime,False,,1,15
329_p244,329,1975,False,1875,tier1_validado,mixed,otro,1875,tier1_validado,mixed,False,1881,1822,1881
329_p292,329,180,False,157,tier1_validado,segun_su_voto,mal_concedido,157,tier1_validado,segun_su_voto,False,162,150,162
329_p297,329,108,False,72,tier1_validado,disidencia,otro,72,tier1_validado,disidencia,False,77,56,77
329_p300,329,139,False,122,tier1_validado,unanime,confirma,122,tier1_validado,unanime,False,,113,139
329_p304,329,217,False,203,tier1_validado,unanime,confirma,203,tier1_validado,unanime,False,,195,217
329_p309,329,183,False,37,tier1_validado,segun_su_voto,otro,37,tier1_validado,segun_su_voto,False,46,30,46
329_p314,329,112,False,86,tier1_validado,disidencia,procedente,86,tier1_validado,disidencia,False,94,30,94
329_p317,329,63,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,11,63
329_p318,329,201,False,121,tier1_validado,mixed,hace_lugar,121,tier1_validado,mixed,False,131,0,131
329_p324,329,13,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,0,13
329_p326,329,116,False,83,tier1_validado,segun_su_voto,desestima,83,tier1_validado,segun_su_voto,False,88,52,88
329_p329,329,29,False,14,tier1_validado,unanime,desestima,14,tier1_validado,unanime,False,,0,29
329_p330,329,183,False,51,tier1_validado,disidencia,desestima,51,tier1_validado,disidencia,False,56,42,56
329_p335,329,298,False,181,tier1_validado,mixed,hace_lugar,181,tier1_validado,mixed,False,194,172,194
329_p342,329,236,False,134,tier1_validado,disidencia,desestima,134,tier1_validado,disidencia,False,142,125,142
329_p349,329,125,False,117,tier1_validado,segun_su_voto,otro,117,tier1_validado,segun_su_voto,False,123,25,123
329_p353,329,165,False,154,tier1_validado,segun_su_voto,otro,154,tier1_validado,segun_su_voto,False,160,107,160
329_p358,329,466,False,451,tier1_validado,unanime,otro,451,tier1_validado,unanime,False,,357,466
329_p370,329,111,False,103,tier1_validado,unanime,competencia,103,tier1_validado,unanime,False,,100,111
329_p373,329,318,False,308,tier1_validado,unanime,competencia,308,tier1_validado,unanime,False,,305,318
329_p381,329,61,False,50,tier1_validado,unanime,otro,50,tier1_validado,unanime,False,,11,61
329_p383,329,56,False,47,tier1_validado,unanime,desestima,47,tier1_validado,unanime,False,,9,56
329_p385,329,1820,False,661,tier1_validado,mixed,confirma,661,tier1_validado,mixed,False,668,424,668
329_p429,329,66,False,46,tier1_validado,unanime,nulidad,46,tier1_validado,unanime,False,,7,66
329_p431,329,56,False,43,tier1_validado,unanime,procedente,43,tier1_validado,unanime,False,,14,56
329_p432,329,207,False,179,tier1_validado,disidencia,hace_lugar,179,tier1_validado,disidencia,False,192,170,192
329_p437,329,124,False,105,tier1_validado,segun_su_voto,mal_concedido,105,tier1_validado,segun_su_voto,False,7,55,124
329_p440,329,169,False,116,tier1_validado,segun_su_voto,mal_concedido,116,tier1_validado,segun_su_voto,False,127,68,127
329_p445,329,720,False,312,tier1_validado,mixed,hace_lugar,312,tier1_validado,mixed,False,323,254,323
329_p463,329,306,False,229,tier1_validado,segun_su_voto,procedente,229,tier1_validado,segun_su_voto,False,235,215,235
329_p471,329,42,False,27,tier1_validado,unanime,otro,27,tier1_validado,unanime,False,,12,42
329_p472,329,1,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,0,1
329_p473,329,748,False,117,tier1_validado,segun_su_voto,otro,117,tier1_validado,segun_su_voto,False,126,103,126
329_p491,329,53,False,24,tier1_validado,segun_su_voto,desestima,24,tier1_validado,segun_su_voto,False,32,11,32
329_p493,329,72,False,42,tier1_validado,segun_su_voto,desestima,42,tier1_validado,segun_su_voto,False,47,17,47
329_p495,329,177,False,149,tier1_validado,segun_su_voto,desestima,149,tier1_validado,segun_su_voto,False,156,135,156
329_p500,329,98,False,74,tier1_validado,unanime,desestima,74,tier1_validado,unanime,False,79,24,79
329_p502,329,300,False,188,tier1_validado,segun_su_voto,hace_lugar,188,tier1_validado,segun_su_voto,False,203,179,203
329_p510,329,94,False,34,tier1_validado,segun_su_voto,desestima,34,tier1_validado,segun_su_voto,False,44,0,44
329_p513,329,181,False,161,tier1_validado,disidencia,hace_lugar,161,tier1_validado,disidencia,False,169,148,169
329_p518,329,295,False,264,tier1_validado,segun_su_voto,hace_lugar,264,tier1_validado,segun_su_voto,False,273,255,273
329_p526,329,144,False,115,tier1_validado,disidencia,hace_lugar,115,tier1_validado,disidencia,False,127,105,127
329_p530,329,247,False,32,tier1_validado,segun_su_voto,hace_lugar,32,tier1_validado,segun_su_voto,False,41,17,41
329_p537,329,213,False,72,tier1_validado,disidencia,originaria,72,tier1_validado,disidencia,False,94,40,94
329_p542,329,52,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,0,52
329_p545,329,112,False,100,tier1_validado,unanime,originaria,100,tier1_validado,unanime,False,,13,112
329_p548,329,108,False,46,tier1_validado,disidencia,otro,46,tier1_validado,disidencia,False,62,14,62
329_p551,329,7,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,0,7
329_p553,329,261,False,195,tier1_validado,disidencia,otro,195,tier1_validado,disidencia,False,207,110,207
329_p560,329,204,False,195,tier1_validado,unanime,otro,195,tier1_validado,unanime,False,,189,204
329_p565,329,81,False,69,tier1_validado,unanime,competencia,69,tier1_validado,unanime,False,,66,81
329_p568,329,95,False,85,tier1_validado,unanime,competencia,85,tier1_validado,unanime,False,,82,95
329_p570,329,90,False,77,tier1_validado,unanime,otro,77,tier1_validado,unanime,False,,74,90
329_p573,329,69,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,25,69
329_p576,329,294,False,288,tier1_validado,unanime,procedente,288,tier1_validado,unanime,False,,194,294
329_p584,329,464,False,431,tier1_validado,segun_su_voto,otro,431,tier1_validado,segun_su_voto,False,442,195,442
329_p595,329,889,False,865,tier1_validado,unanime,revoca,865,tier1_validado,unanime,False,,478,889
329_p617,329,89,False,77,tier1_validado,unanime,otro,77,tier1_validado,unanime,False,,71,89
329_p619,329,23,False,15,tier1_validado,unanime,otro,15,tier1_validado,unanime,False,,9,23
329_p620,329,55,False,24,tier1_validado,segun_su_voto,desestima,24,tier1_validado,segun_su_voto,False,32,15,32
329_p622,329,23,False,12,tier1_validado,unanime,otro,12,tier1_validado,unanime,False,,5,23
329_p623,329,33,False,24,tier1_validado,unanime,procedente,24,tier1_validado,unanime,False,,6,33
329_p624,329,199,False,148,tier1_validado,disidencia,revoca,148,tier1_validado,disidencia,False,157,43,157
329_p629,329,164,False,149,tier1_validado,unanime,abstracto,149,tier1_validado,unanime,False,,91,164
329_p634,329,209,False,181,tier1_validado,disidencia,procedente,181,tier1_validado,disidencia,False,196,173,196
329_p639,329,235,False,218,tier1_validado,unanime,revoca,218,tier1_validado,unanime,False,,184,235
329_p646,329,921,False,313,tier1_validado,mixed,otro,313,tier1_validado,mixed,False,319,306,319
329_p669,329,439,False,385,tier1_validado,unanime,confirma,385,tier1_validado,unanime,False,4,376,439
329_p679,329,334,False,262,tier1_validado,segun_su_voto,procedente,262,tier1_validado,segun_su_voto,False,271,187,271
329_p689,329,235,False,190,tier1_validado,disidencia,desestima,190,tier1_validado,disidencia,False,196,179,196
329_p695,329,589,False,230,tier1_validado,mixed,desestima,230,tier1_validado,mixed,False,237,221,237
329_p710,329,194,False,164,tier1_validado,disidencia,hace_lugar,164,tier1_validado,disidencia,False,173,129,173
329_p716,329,44,False,26,tier1_validado,segun_su_voto,otro,26,tier1_validado,segun_su_voto,False,31,13,31
329_p717,329,258,False,227,tier1_validado,unanime,desestima,227,tier1_validado,unanime,False,,218,258
329_p723,329,232,False,176,tier1_validado,segun_su_voto,hace_lugar,176,tier1_validado,segun_su_voto,False,185,108,185
329_p730,329,144,False,118,tier1_validado,segun_su_voto,desestima,118,tier1_validado,segun_su_voto,False,128,108,128
329_p734,329,234,False,181,tier1_validado,mixed,desestima,181,tier1_validado,mixed,False,191,173,191
329_p741,329,78,False,36,tier1_validado,segun_su_voto,desestima,36,tier1_validado,segun_su_voto,False,42,19,42
329_p743,329,327,False,290,tier1_validado,disidencia,otro,290,tier1_validado,disidencia,False,309,165,309
329_p752,329,26,False,13,tier1_validado,unanime,otro,13,tier1_validado,unanime,False,,6,26
329_p753,329,92,False,84,tier1_validado,unanime,originaria,84,tier1_validado,unanime,False,,16,92
329_p755,329,138,False,62,tier1_validado,segun_su_voto,otro,62,tier1_validado,segun_su_voto,False,93,33,93
329_p759,329,540,False,527,tier1_validado,unanime,otro,527,tier1_validado,unanime,False,,172,540
329_p772,329,178,False,140,tier1_validado,unanime,otro,140,tier1_validado,unanime,False,,79,178
329_p776,329,99,False,79,tier1_validado,unanime,originaria,79,tier1_validado,unanime,False,,40,99
329_p780,329,106,False,92,tier1_validado,unanime,otro,92,tier1_validado,unanime,False,,86,106
329_p783,329,254,False,244,tier1_validado,unanime,otro,244,tier1_validado,unanime,False,,130,254
329_p789,329,119,False,77,tier1_validado,segun_su_voto,otro,77,tier1_validado,segun_su_voto,False,81,28,81
329_p792,329,423,False,418,tier1_fallback,sin_firma,otro,418,tier1_fallback,sin_firma,False,,172,423
329_p803,329,58,False,54,tier1_validado,unanime,otro,54,tier1_validado,unanime,False,,0,58
329_p805,329,111,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,83,111
329_p809,329,963,False,745,tier2,segun_su_voto,otro,745,tier2,segun_su_voto,False,750,417,750
329_p833,329,161,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,106,161
329_p838,329,88,False,79,tier1_validado,unanime,otro,79,tier1_validado,unanime,False,,23,88
329_p840,329,171,False,96,tier1_validado,disidencia,competencia,96,tier1_validado,disidencia,False,106,93,106
329_p845,329,83,False,73,tier1_validado,unanime,competencia,73,tier1_validado,unanime,False,,70,83
329_p847,329,149,False,141,tier1_validado,unanime,competencia,141,tier1_validado,unanime,False,,138,149
329_p851,329,224,False,217,tier1_validado,unanime,otro,217,tier1_validado,unanime,False,,214,224
329_p857,329,95,False,82,tier1_validado,unanime,competencia,82,tier1_validado,unanime,False,,79,95
329_p860,329,103,False,91,tier1_validado,unanime,competencia,91,tier1_validado,unanime,False,,88,103
329_p863,329,92,False,86,tier1_validado,unanime,otro,86,tier1_validado,unanime,False,,83,92
329_p865,329,107,False,99,tier1_validado,unanime,competencia,99,tier1_validado,unanime,False,,96,107
329_p868,329,122,False,104,tier1_validado,unanime,procedente,104,tier1_validado,unanime,False,,19,122
329_p872,329,297,False,279,tier1_validado,unanime,otro,279,tier1_validado,unanime,False,,71,297
329_p879,329,354,False,195,tier1_validado,mixed,otro,195,tier1_validado,mixed,False,236,149,236
329_p888,329,150,False,133,tier1_validado,unanime,revoca,133,tier1_validado,unanime,False,,121,150
329_p892,329,246,False,135,tier1_validado,disidencia,otro,135,tier1_validado,disidencia,False,140,124,140
329_p899,329,160,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,153,160
329_p904,329,43,False,24,tier1_validado,unanime,procedente,24,tier1_validado,unanime,False,,7,43
329_p906,329,115,False,84,tier1_validado,disidencia,desestima,84,tier1_validado,disidencia,False,95,74,95
329_p909,329,633,False,335,tier1_validado,mixed,hace_lugar,335,tier1_validado,mixed,False,345,316,345
329_p926,329,81,False,62,tier1_validado,unanime,hace_lugar,62,tier1_validado,unanime,False,,21,81
329_p928,329,337,False,137,tier1_validado,unanime,desestima,137,tier1_validado,unanime,False,142,124,142
329_p937,329,163,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,163,163
329_p942,329,366,False,139,tier1_validado,mixed,originaria,139,tier1_validado,mixed,False,150,60,150
329_p951,329,151,False,138,tier1_validado,unanime,otro,138,tier1_validado,unanime,False,,13,151
329_p955,329,135,False,127,tier1_validado,unanime,otro,127,tier1_validado,unanime,False,,70,135
329_p959,329,108,False,89,tier1_validado,unanime,procedente,89,tier1_validado,unanime,False,,23,108
329_p963,329,363,False,180,tier1_validado,disidencia,otro,180,tier1_validado,disidencia,False,188,66,188
329_p972,329,173,False,160,tier1_validado,unanime,procedente,160,tier1_validado,unanime,False,,152,173
329_p976,329,323,False,287,tier1_validado,unanime,procedente,287,tier1_validado,unanime,False,,279,323
329_p984,329,149,False,137,tier1_validado,unanime,procedente,137,tier1_validado,unanime,False,,129,149
329_p988,329,46,False,19,tier1_validado,unanime,desestima,19,tier1_validado,unanime,False,,10,46
329_p989,329,55,False,19,tier1_validado,segun_su_voto,otro,19,tier1_validado,segun_su_voto,False,30,0,30
329_p991,329,40,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,13,40
329_p993,329,151,False,32,tier1_validado,disidencia,desestima,32,tier1_validado,disidencia,False,41,18,41
329_p997,329,125,False,106,tier1_validado,segun_su_voto,hace_lugar,106,tier1_validado,segun_su_voto,False,117,92,117
329_p1002,329,162,False,148,tier1_validado,unanime,procedente,148,tier1_validado,unanime,False,,139,162
329_p1007,329,171,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,168,171
329_p1012,329,286,False,253,tier1_validado,disidencia,hace_lugar,253,tier1_validado,disidencia,False,268,244,268
329_p1019,329,108,False,98,tier1_validado,unanime,competencia,98,tier1_validado,unanime,False,,68,108
329_p1022,329,70,False,56,tier1_validado,unanime,originaria,56,tier1_validado,unanime,False,,17,70
329_p1024,329,128,False,89,tier1_validado,segun_su_voto,competencia,89,tier1_validado,segun_su_voto,False,101,75,101
329_p1028,329,94,False,86,tier1_validado,unanime,competencia,86,tier1_validado,unanime,False,,83,94
329_p1030,329,79,False,65,tier1_validado,unanime,competencia,65,tier1_validado,unanime,False,,62,79
329_p1033,329,92,False,80,tier1_validado,unanime,competencia,80,tier1_validado,unanime,False,,77,92
329_p1035,329,161,False,35,tier1_validado,disidencia,otro,35,tier1_validado,disidencia,False,46,0,46
329_p1040,329,191,False,172,tier1_validado,unanime,procedente,172,tier1_validado,unanime,False,,164,191
329_p1045,329,159,False,133,tier1_validado,disidencia,procedente,133,tier1_validado,disidencia,False,144,123,144
329_p1049,329,134,False,124,tier1_validado,unanime,otro,124,tier1_validado,unanime,False,,111,134
329_p1053,329,516,False,465,tier1_validado,segun_su_voto,hace_lugar,465,tier1_validado,segun_su_voto,False,474,452,474
329_p1066,329,998,False,586,tier1_validado,mixed,hace_lugar,586,tier1_validado,mixed,False,597,335,597
329_p1092,329,3600,False,757,tier1_validado,mixed,hace_lugar,757,tier1_validado,mixed,False,772,537,772
329_p1180,329,450,False,348,tier1_validado,segun_su_voto,desestima,348,tier1_validado,segun_su_voto,False,359,338,359
329_p1191,329,693,False,400,tier1_validado,segun_su_voto,desestima,400,tier1_validado,segun_su_voto,False,406,247,406
329_p1209,329,402,False,327,tier1_validado,disidencia,desestima,327,tier1_validado,disidencia,False,337,318,337
329_p1219,329,174,False,147,tier1_validado,disidencia,hace_lugar,147,tier1_validado,disidencia,False,156,138,156
329_p1224,329,91,False,79,tier1_validado,unanime,otro,79,tier1_validado,unanime,False,,17,91
329_p1226,329,383,False,257,tier1_validado,segun_su_voto,otro,257,tier1_validado,segun_su_voto,False,264,86,264
329_p1236,329,195,False,119,tier1_validado,segun_su_voto,otro,119,tier1_validado,segun_su_voto,False,125,116,125
329_p1241,329,70,False,53,tier1_validado,unanime,competencia,53,tier1_validado,unanime,False,,50,70
329_p1243,329,85,False,74,tier1_validado,unanime,competencia,74,tier1_validado,unanime,False,,71,85
329_p1245,329,2195,False,1572,tier1_validado,mixed,otro,1572,tier1_validado,mixed,False,1590,1063,1590
329_p1301,329,72,False,49,tier1_validado,unanime,abstracto,49,tier1_validado,unanime,False,,17,72
329_p1303,329,56,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,14,56
329_p1305,329,37,False,32,tier1_validado,unanime,otro,32,tier1_validado,unanime,False,,12,37
329_p1306,329,1,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,0,1
329_p1307,329,37,False,8,tier1_validado,unanime,otro,8,tier1_validado,unanime,False,,5,37
329_p1309,329,80,False,37,tier1_validado,unanime,otro,37,tier1_validado,unanime,False,,14,80
329_p1310,329,11,False,5,tier1_validado,unanime,otro,5,tier1_validado,unanime,False,,0,11
329_p1311,329,142,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,101,142
329_p1317,329,305,False,284,tier1_validado,unanime,otro,284,tier1_validado,unanime,False,,57,305
329_p1324,329,120,False,105,tier1_validado,unanime,otro,105,tier1_validado,unanime,False,,102,120
329_p1328,329,81,False,68,tier1_validado,unanime,competencia,68,tier1_validado,unanime,False,,65,81
329_p1330,329,62,False,48,tier1_validado,unanime,competencia,48,tier1_validado,unanime,False,,45,62
329_p1332,329,167,False,157,tier1_validado,unanime,competencia,157,tier1_validado,unanime,False,,154,167
329_p1336,329,73,False,64,tier1_validado,unanime,competencia,64,tier1_validado,unanime,False,,61,73
329_p1338,329,85,False,71,tier1_validado,unanime,competencia,71,tier1_validado,unanime,False,,68,85
329_p1341,329,84,False,74,tier1_validado,unanime,competencia,74,tier1_validado,unanime,False,,71,84
329_p1343,329,185,False,9,tier1_validado,unanime,competencia,9,tier1_validado,unanime,False,,6,185
329_p1348,329,83,False,73,tier1_validado,unanime,competencia,73,tier1_validado,unanime,False,,70,83
329_p1350,329,4801,False,147,tier1_validado,disidencia,procedente,147,tier1_validado,disidencia,False,155,138,155
329_p1375,329,68,False,56,tier1_validado,unanime,competencia,56,tier1_validado,unanime,False,,53,68
329_p1377,329,122,False,112,tier1_validado,unanime,competencia,112,tier1_validado,unanime,False,,109,122
329_p1380,329,109,False,4,tier1_validado,unanime,competencia,4,tier1_validado,unanime,False,,1,109
329_p1383,329,89,False,80,tier1_validado,unanime,competencia,80,tier1_validado,unanime,False,,77,89
329_p1385,329,130,False,117,tier1_validado,unanime,competencia,117,tier1_validado,unanime,False,,114,130
329_p1389,329,82,False,69,tier1_validado,unanime,competencia,69,tier1_validado,unanime,False,,66,82
329_p1391,329,247,False,235,tier1_validado,unanime,procedente,235,tier1_validado,unanime,False,,222,247
329_p1397,329,66,False,46,tier1_validado,unanime,mal_concedido,46,tier1_validado,unanime,False,,10,66
329_p1399,329,718,False,390,tier1_validado,segun_su_voto,hace_lugar,390,tier1_validado,segun_su_voto,False,403,93,403
329_p1417,329,301,False,283,tier1_validado,unanime,confirma,283,tier1_validado,unanime,False,,174,301
329_p1425,329,347,False,243,tier1_validado,disidencia,revoca,243,tier1_validado,disidencia,False,248,195,248
329_p1434,329,71,False,55,tier1_validado,unanime,mal_concedido,55,tier1_validado,unanime,False,,17,71
329_p1436,329,147,False,121,tier1_validado,disidencia,revoca,121,tier1_validado,disidencia,False,129,113,129
329_p1440,329,255,False,229,tier1_validado,disidencia,confirma,229,tier1_validado,disidencia,False,236,217,236
329_p1447,329,1026,False,671,tier1_validado,mixed,procedente,671,tier1_validado,mixed,False,681,605,681
329_p1473,329,258,False,241,tier1_validado,unanime,confirma,241,tier1_validado,unanime,False,,233,258
329_p1480,329,233,False,128,tier1_validado,disidencia,procedente,128,tier1_validado,disidencia,False,141,121,141
329_p1487,329,31,False,22,tier1_validado,unanime,competencia,22,tier1_validado,unanime,False,,7,31
329_p1488,329,89,False,68,tier1_validado,segun_su_voto,desestima,68,tier1_validado,segun_su_voto,False,74,55,74
329_p1490,329,108,False,54,tier1_validado,segun_su_voto,otro,54,tier1_validado,segun_su_voto,False,60,19,60
329_p1493,329,295,False,278,tier1_validado,unanime,desestima,278,tier1_validado,unanime,False,,269,295
329_p1501,329,187,False,159,tier1_validado,disidencia,desestima,159,tier1_validado,disidencia,False,169,150,169
329_p1506,329,336,False,83,tier1_validado,disidencia,desestima,83,tier1_validado,disidencia,False,1,72,336
329_p1514,329,275,False,245,tier1_validado,segun_su_voto,hace_lugar,245,tier1_validado,segun_su_voto,False,253,235,253
329_p1521,329,31,False,23,tier1_validado,unanime,otro,23,tier1_validado,unanime,False,,8,31
329_p1522,329,653,False,393,tier1_validado,disidencia,desestima,393,tier1_validado,disidencia,False,400,379,400
329_p1538,329,33,False,26,tier1_validado,unanime,desestima,26,tier1_validado,unanime,False,,8,33
329_p1539,329,52,False,36,tier1_validado,unanime,hace_lugar,36,tier1_validado,unanime,False,,7,52
329_p1541,329,11,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,0,11
329_p1554,329,499,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,287,499
329_p1568,329,665,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,348,665
329_p1586,329,650,False,642,tier1_validado,unanime,otro,642,tier1_validado,unanime,False,,352,650
329_p1603,329,247,False,226,tier1_validado,unanime,otro,226,tier1_validado,unanime,False,,96,247
329_p1609,329,86,False,77,tier1_validado,unanime,competencia,77,tier1_validado,unanime,False,,74,86
329_p1611,329,297,False,285,tier1_validado,unanime,competencia,285,tier1_validado,unanime,False,,282,297
329_p1619,329,118,False,49,tier1_validado,disidencia,revoca,49,tier1_validado,disidencia,False,55,21,55
329_p1622,329,126,False,99,tier1_validado,disidencia,hace_lugar,99,tier1_validado,disidencia,False,108,85,108
329_p1626,329,85,False,66,tier1_validado,unanime,nulidad,66,tier1_validado,unanime,False,,9,85
329_p1628,329,127,False,30,tier1_validado,segun_su_voto,otro,30,tier1_validado,segun_su_voto,False,35,22,35
329_p1631,329,250,False,225,tier1_validado,segun_su_voto,desestima,225,tier1_validado,segun_su_voto,False,230,217,230
329_p1638,329,675,False,303,tier1_validado,disidencia,hace_lugar,303,tier1_validado,disidencia,False,311,295,311
329_p1655,329,234,False,121,tier1_validado,mixed,desestima,121,tier1_validado,mixed,False,127,80,127
329_p1661,329,348,False,281,tier1_validado,disidencia,otro,281,tier1_validado,disidencia,False,290,271,290
329_p1669,329,7,False,6,tier1_fallback,sin_firma,otro,6,tier1_fallback,sin_firma,False,,0,7
329_p1671,329,34,False,29,tier1_validado,unanime,desestima,29,tier1_validado,unanime,False,,12,34
329_p1672,329,15,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,11,15
329_p1673,329,74,False,63,tier1_validado,unanime,otro,63,tier1_validado,unanime,False,,24,74
329_p1675,329,334,False,260,tier1_validado,disidencia,originaria,260,tier1_validado,disidencia,False,267,122,267
329_p1684,329,269,False,225,tier1_validado,unanime,otro,225,tier1_validado,unanime,False,,97,269
329_p1690,329,74,False,61,tier1_validado,unanime,otro,61,tier1_validado,unanime,False,,58,74
329_p1693,329,97,False,85,tier1_validado,unanime,competencia,85,tier1_validado,unanime,False,,82,97
329_p1696,329,162,False,122,tier1_validado,unanime,otro,122,tier1_validado,unanime,False,,21,162
