caso_id_canonico,tomo,source_file,li,lf,lfr,retroceso,bloque_total,token_siguiente,sig_caso_id,linea_corte_texto,clasificacion_corte,firma_entre_lfr_lf,firma_linea,firma_texto,hay_dispositivo_perdido,contexto_lfr_menos2,contexto_lfr_menos1,contexto_lfr,contexto_lfr_mas1,contexto_lfr_mas2
329_p899,329,LibroVol329.1.md,33955,34131,34114,17,176,Abud,329_p5791,"Corte Suprema de Justicia de la Nación, cuyos términos se dan por",otro,SI,34122,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,Que este Tribunal comparte y hace suyos los fundamentos y con-,clusiones del dictamen del señor Procurador Fiscal subrogante ante la,"Corte Suprema de Justicia de la Nación, cuyos términos se dan por",reproducidos por razones de brevedad.,"Por ello, se declara procedente el recurso extraordinario y se deja"
329_p937,329,LibroVol329.1.md,35383,35573,35545,28,190,Cedermas,329_p3871,men de actos administrativos dictados por las autoridades provincia-,otro,SI,35564,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,"federal no es la predominante en la causa, pues la solución del pleito",exige el tratamiento de instituciones de derecho público local y el exa-,men de actos administrativos dictados por las autoridades provincia-,les (vgr. el decreto-acuerdo 24/1-03 que tacha de nulo).,"En tales condiciones, y dado que el art. 117 de la Constitución"
329_p1007,329,LibroVol329.1.md,37980,38170,38150,20,190,Beratz,329_p5900,"causa Robles, Hugo Antonio y otros c/ Provincia del Chaco P.E.”, para",otro,SI,38163,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,"Buenos Aires, 4 de abril de 2006.",Vistos los autos: “Recurso de hecho deducido por la actora en la,"causa Robles, Hugo Antonio y otros c/ Provincia del Chaco P.E.”, para",decidir sobre su procedencia.,Considerando:
329_p1303,329,LibroVol329.1.md,49584,49657,49639,18,73,Schenone,329_p4248,"bre de 2005 en la causa B.2286.XLI “Boggiano, Antonio s/ recurso de",otro,,,,,(fs. 98/99).,"Por último, mediante el pronunciamiento dictado el 22 de noviem-","bre de 2005 en la causa B.2286.XLI “Boggiano, Antonio s/ recurso de","queja” (Fallos: 328:4059) (fs. 170), se resolvió “en orden a lo decidido",por el Consejo de la Magistratura del Poder Judicial de la Nación en
329_p1311,329,LibroVol329.1.md,49887,50094,50028,66,207,Expreso,329_p4259,que se pretenda imputar responsabilidad patrimonial a una provincia,otro,,,,SI,"3º) Que este marco conceptual excluye, como lo enfatizó el Tribu-","nal en el precedente que se viene recordando, todos aquellos casos en",que se pretenda imputar responsabilidad patrimonial a una provincia,por los daños y perjuicios que invoquen sufrir los ciudadanos de otro,"Estado local, o un extranjero, por la actuación o por la omisión de los"
329_p1541,329,LibroVol329.2.md,6398,6892,6408,484,494,Rizzo,329_p175,del Código Procesal Penal de la Nación vulnera los principios de defensa en juicio,otro,SI,6437,federal y de la Capital (Disidencia de la Dra. Carmen M. Argibay).,SI,casatoria por considerar que el rechazo de una excepción de falta de acción no,encuadraba en los supuestos de resoluciones recurribles que contiene el art. 457,del Código Procesal Penal de la Nación vulnera los principios de defensa en juicio,y debido proceso ya que se basa en una interpretación irrazonable del citado,artículo que no armoniza con las restantes normas del ordenamiento jurídico.
329_p1554,329,LibroVol329.2.md,6898,7433,7396,37,535,Derudder,329_p3148,aplicables al sub iudice. Por lo que corresponde declarar que Nación,otro,,,,,"de certeza” (sentencia del 7 de febrero de 2006), a cuyos fundamentos","y conclusión cabe remitir por razones de brevedad, en cuanto fueren",aplicables al sub iudice. Por lo que corresponde declarar que Nación,"AFJP S.A. debe tributar el gravamen bajo la alícuota general del 2,5%,","según lo dispone el art. 5º, inc. c, de la ley impositiva 5636, ya citada;"
329_p1568,329,LibroVol329.2.md,7441,8140,8105,35,699,Gematec,329_p201,sión analógica a Nación AFJP S.A. de los supuestos taxativamente,otro,,,,,desprende con nitidez que el temperamento de la Provincia del,"Neuquén, expresado en la resolución 627/00 –que importa la exten-",sión analógica a Nación AFJP S.A. de los supuestos taxativamente,"previstos en su art. 202, gravados bajo la alícuota especial– no puede","tener cabida sin agravio al principio de legalidad fiscal o de reserva,"
329_p1669,329,LibroVol329.2.md,11362,11376,11368,8,14,Facciuto,329_p304,"tor Aron Germán. Notifíquese y, oportunamente, remítase a la Cáma-",otro,SI,11371,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,,Social a fin de que adopte las medidas que estime pertinentes.,"Por ello, no ha lugar a la medida innovativa solicitada por el Doc-","tor Aron Germán. Notifíquese y, oportunamente, remítase a la Cáma-",ra Federal de la Seguridad Social.,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS
329_p1672,329,LibroVol329.2.md,11411,11431,11425,6,20,Asociación,329_p5190,tra jueces de la Corte Suprema de Justicia de la Nación cuando la,otro,,,,,Autos y Vistos; Considerando:,Que corresponde desestimar de plano la recusación deducida con-,tra jueces de la Corte Suprema de Justicia de la Nación cuando la,causal invocada sea manifiestamente improcedente (Fallos: 244:506;,247:285; 274:86; 320:2496). Tal temperamento debe ser adoptado en
329_p1762,329,LibroVol329.2.md,14885,15048,15010,38,163,Banco,329_p1767,"la causa Mathieu, Claudia María c/ Banco Central de la República",otro,SI,15033,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN,SI,"Buenos Aires, 23 de mayo de 2006.",Vistos los autos: “Recurso de hecho deducido por la demandada en,"la causa Mathieu, Claudia María c/ Banco Central de la República","Argentina”, para decidir sobre su procedencia.",
329_p1859,329,LibroVol329.2.md,18555,18641,18607,34,86,Paola,329_p5375,"Previsión para la Actividad Docente c/ Jujuy, Provincia de s/ ejecución",otro,,,,,Corte frente a planteos portadores de análogos defectos (conf. Fallos:,"327:2504, 328:2504 y causa C.903.XXXVII “Caja Complementaria de","Previsión para la Actividad Docente c/ Jujuy, Provincia de s/ ejecución","fiscal”, del 24 de junio de 2004). Sin perjuicio de ello, con base en el",deber del Tribunal de controlar de oficio la exactitud de la cuenta pre-
329_p1881,329,LibroVol329.2.md,19386,20080,20075,5,694,Cablevisión,329_p3459,"Nicolás Tortorelli contra el Estado Nacional, la Provincia de Buenos",otro,,,,,en el 20% restante.,"Por ello, se decide: I. Hacer lugar a la demanda seguida por Mario","Nicolás Tortorelli contra el Estado Nacional, la Provincia de Buenos","Aires y Alberto Edmundo Rezzónico, condenándolos a pagar, dentro",
329_p1928,329,LibroVol329.2.md,21209,21252,21244,8,43,ANSeS,329_p1930,"Vistos los autos: “Puente, María Elvira c/ ANSeS s/ reajustes va-",vistos,,,,,FALLO DE LA CORTE SUPREMA,"Buenos Aires, 23 de mayo de 2006.","Vistos los autos: “Puente, María Elvira c/ ANSeS s/ reajustes va-",rios”.,Considerando:
329_p2088,329,LibroVol329.2.md,27242,27908,27844,64,666,Banco,329_p5607,"República Argentina (Fallos: 317:1921, votos en disidencia parcial de",cita,SI,27861,ENRIQUE SANTIAGO PETRACCHI (en disidencia parcial) — ELENA I. HIGHTON,SI,"ral” a partir del 10 de febrero de 1999 hasta su efectivo pago, a la tasa",pasiva promedio que publica mensualmente el Banco Central de la,"República Argentina (Fallos: 317:1921, votos en disidencia parcial de","los jueces Nazareno, Fayt, Levene (h) y Boggiano; 326:1299, voto en","disidencia parcial de los jueces Nazareno, Fayt y Maqueda, y causa"
329_p2121,329,LibroVol329.2.md,28498,28638,28594,44,140,Barreto,329_p759,"menores, e inician acción de amparo contra la Provincia de Buenos",otro,,,,,1º) Que a fs. 54/58 se presentan Roberto Elías Uran y Rosa Mabel,"Domínguez, por derecho propio y en representación de sus diez hijos","menores, e inician acción de amparo contra la Provincia de Buenos","Aires –Ministerios de Infraestructura, Vivienda y Servicios Públicos,",
329_p2174,329,LibroVol329.2.md,30368,30534,30517,17,166,Fiscal,329_p5691,"ponda, se dicte nuevo pronunciamiento con arreglo a lo expresado.",otro,,,,SI,"el recurso extraordinario, dejar sin efecto la sentencia y disponer que","vuelvan los actuados al tribunal de origen para que, por quien corres-","ponda, se dicte nuevo pronunciamiento con arreglo a lo expresado.","Buenos Aires, 17 de mayo de 2005. Marta A. Beiró de Gonçalvez.",FALLO DE LA CORTE SUPREMA
329_p2191,329,LibroVol329.2.md,30966,31071,31002,69,105,Homecare,329_p3757,"Vistos los autos: “Bombelli, Roberto c/ ANSeS s/ reajustes por mo-",vistos,SI,31061,ENRIQUE SANTIAGO PETRACCHI (según su voto) — ELENA I. HIGHTON DE,SI,FALLO DE LA CORTE SUPREMA,"Buenos Aires, 6 de junio de 2006.","Vistos los autos: “Bombelli, Roberto c/ ANSeS s/ reajustes por mo-",vilidad”.,Considerando:
329_p2194,329,LibroVol329.2.md,31094,31178,31147,31,84,Sagues,329_p5713,"dada por el tribunal a la ANSeS, máxime cuando en su fallo coincidió",otro,SI,31159,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,edad el 30 de agosto de 2002.,"5º) Que, en tales condiciones, carece de fundamento la directiva","dada por el tribunal a la ANSeS, máxime cuando en su fallo coincidió","con la interpretación efectuada en el considerando precedente, y de la",lectura de la constancia que señala resulta que la referencia del orga-
329_p2197,329,LibroVol329.2.md,31183,31248,31235,13,65,Huancaya,329_p5716,"Vistos los autos: “Rasgido, Alicia Zulema c/ ANSeS s/ reajustes",vistos,,,,,FALLO DE LA CORTE SUPREMA,"Buenos Aires, 6 de junio de 2006.","Vistos los autos: “Rasgido, Alicia Zulema c/ ANSeS s/ reajustes",varios”.,Considerando:
329_p2206,329,LibroVol329.2.md,31524,31751,31554,197,227,Trenes,329_p5726,"del Plata, Provincia de Buenos Aires, que revocó el decisorio apelado",otro,SI,31740,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN,SI,– I –,Contra la sentencia de la Cámara Federal de Apelaciones de Mar,"del Plata, Provincia de Buenos Aires, que revocó el decisorio apelado",,2207
329_p2351,329,LibroVol329.2.md,36948,37102,36964,138,154,García,329_p5871,nario interpuesto por la ANSeS y confirmar la sentencia apelada.,otro,SI,36967,CARMEN M. ARGIBAY.,SI,ber habido agravio sobre el punto.,"Por ello, el Tribunal resuelve: Declarar procedente el recurso ordi-",nario interpuesto por la ANSeS y confirmar la sentencia apelada.,Notifíquese y devuélvase.,CARMEN M. ARGIBAY.
329_p2467,329,LibroVol329.2.md,41449,41498,41476,22,49,Asociación,329_p2469,"torturas, reducción a servidumbre y asociación ilícita, para con las",otro,,,,,"George Walter Bush, Donald Rumsfield y Condolezza Rice, por los","delitos de privación ilegítima de la libertad, aplicación de tormentos,","torturas, reducción a servidumbre y asociación ilícita, para con las","personas detenidas en Afganistán, Irak Guantánamo, Jordania,","Indonesia y Yemen, en el marco de la llamada “guerra contra el terro-"
329_p2485,329,LibroVol329.2.md,42131,42405,42392,13,274,Nación,329_p6009,de la Provincia de Tucumán –DGR– c/ Shell C.A.P.S.A. s/ ejecución,otro,,,,,una función que sólo a éste le incumbe (causa S.2643.XL “Shell Com-,pañía Argentina de Petróleo S.A. s/ inhibitoria en los autos: ‘Gobierno,de la Provincia de Tucumán –DGR– c/ Shell C.A.P.S.A. s/ ejecución,"fiscal’”, pronunciamiento del 14 de marzo de 2006).","7º) Que en ese orden de ideas, es dable recordar que el cobro de un"
329_p2539,329,LibroVol329.2.md,44187,44490,44473,17,303,ANSeS,329_p6064,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,firma_juez,SI,44474,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,"procedente el recurso extraordinario interpuesto, y se confirma la sen-","tencia apelada. Notifíquese y, oportunamente, devuélvase.",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,S. FAYT (en disidencia) — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI —,RICARDO LUIS LORENZETTI — CARMEN M. ARGIBAY (en disidencia).
329_p2757,329,LibroVol329.2.md,52367,52430,52397,33,63,Provincia,329_p2759,mueve ejecución contra la Provincia de San Luis con base en el certifi-,otro,,,,,Autos y Vistos; Considerando:,1º) Que a fs. 15/17 la Obra Social para la Actividad Docente pro-,mueve ejecución contra la Provincia de San Luis con base en el certifi-,"cado de deuda 2297 por la suma de $ 97.779,16, con los recargos, ac-",tualización e intereses que por ley corresponda.
329_p2827,329,LibroVol329.2.md,54887,54956,54897,59,69,Intercargo,329_p4390,"Traslado contestado por la ANSeS, representada por Dra. Liliana Beatriz Polti.",otro,,,,,"Recurso ordinario interpuesto por el señor Brizuela, Jorge Medardo, represen-",tado por Dr. Marcelo José Galindo.,"Traslado contestado por la ANSeS, representada por Dra. Liliana Beatriz Polti.",Tribunal de origen: Cámara Federal de la Seguridad Social (Sala I).,Tribunales que intervinieron con anterioridad: Juzgado Federal de la Provincia de
329_p2829,329,LibroVol329.2.md,54972,54989,54984,5,17,ANSeS,329_p2830,"Vistos los autos: “Bariain, Teresa Amaya c/ ANSeS s/medidas",vistos,,,,,FALLO DE LA CORTE SUPREMA,"Buenos Aires, 11 de julio de 2006.","Vistos los autos: “Bariain, Teresa Amaya c/ ANSeS s/medidas",cautelares”.,
329_p2830,329,LibroVol329.2.md,54995,55133,55055,78,138,Obra,329_p4394,2º) Que en razón de que la ANSeS reconoció a ambas peticionarias,otro,SI,55121,ENRIQUE SANTIAGO PETRACCHI (en disidencia) — ELENA I. HIGHTON DE,SI,FALLOS DE LA CORTE SUPREMA,329,2º) Que en razón de que la ANSeS reconoció a ambas peticionarias,"el derecho a percibir la pensión en partes iguales, la actora dedujo","demanda de conocimiento pleno, que fue rechazada por el juez de gra-"
329_p2937,329,LibroVol329.2.md,58990,59051,59001,50,61,Ramos,329_p4500,"Vistos los autos: “Nally, Carlos Alberto c/ ANSeS s/ pensiones”.",vistos,SI,59047,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN,SI,FALLO DE LA CORTE SUPREMA,"Buenos Aires, 18 de julio de 2006.","Vistos los autos: “Nally, Carlos Alberto c/ ANSeS s/ pensiones”.",Considerando:,1º) Que contra la sentencia de la Sala I de la Cámara Federal de la
329_p3006,329,LibroVol329.3.md,1608,2108,1923,185,500,Conde,329_p47,"como le fueron entregados en el banco, muchos de ellos de baja nomi-",otro,SI,2089,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN,SI,FALLOS DE LA CORTE SUPREMA,329,"como le fueron entregados en el banco, muchos de ellos de baja nomi-","nación que, según el tesorero que pagó la libranza judicial, obedeció a",un pedido del propio encausado.
329_p3089,329,LibroVol329.3.md,4799,5221,5200,21,422,Aguirre,329_p1501,XXXV “Fernández Vicente c/ ANSeS s/ dependientes”).,otro,,,,,"sión, fue revocado por V.E., mediante fallo de fecha 18 de diciembre de 2001, de confor-",midad con lo dictaminado por esta Procuración General (v. expediente S.C. F. 487; L.,XXXV “Fernández Vicente c/ ANSeS s/ dependientes”).,"En cuanto a la declaración de inconstitucionalidad del artículo 16 de la misma ley,",debo decir que un concepto legal debe ser interpretado analizando todo su contexto
329_p3168,329,LibroVol329.3.md,7724,8030,8010,20,306,Correo,329_p5094,Comercial de la Nación); II. Declarar la incompetencia del Tribunal en,otro,,,,,Casanegra y Sara C. López Casanegra contra el Estado Nacional (Mi-,"nisterio del Interior). Con costas (art. 68 del Código Procesal, Civil y",Comercial de la Nación); II. Declarar la incompetencia del Tribunal en,lo atinente al reclamo contra la Provincia de Santiago del Estero; III.,Imponer las costas del incidente resuelto a fs. 318 al Estado Nacional
329_p3184,329,LibroVol329.3.md,8374,8572,8516,56,198,Edelmann,329_p229,"deral y de la Provincia de Buenos Aires, a requerimiento de la autori-",otro,,,,,"rrolla, consistente en el ejercicio de tareas de vacunación (venta y apli-",cación de vacunas) en escuelas y empresas privadas de la Capital Fe-,"deral y de la Provincia de Buenos Aires, a requerimiento de la autori-","dades de dichos establecimientos, prestaciones que no están compren-",didas en el Plan Nacional de Vacunación.
329_p3203,329,LibroVol329.3.md,9061,9179,9089,90,118,Ministerio,329_p1611,"Vistos los autos: “Capurro, Nélida Beatriz c/ ANSeS s/ pensiones”.",vistos,SI,9153,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,FALLO DE LA CORTE SUPREMA,"Buenos Aires, 15 de agosto de 2006.","Vistos los autos: “Capurro, Nélida Beatriz c/ ANSeS s/ pensiones”.",Considerando:,1º) Que contra el pronunciamiento de la Sala II de la Cámara Fe-
329_p3207,329,LibroVol329.3.md,9194,9332,9302,30,138,ANSeS,329_p3211,a la pretensión y ordenar a la ANSeS que redetermine el haber inicial,otro,SI,9322,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,previsiones de la ley 23.682 que remitía a aquel estatuto.,"7º) Que, en tales condiciones, corresponde hacer lugar parcialmente",a la pretensión y ordenar a la ANSeS que redetermine el haber inicial,de la pensión al momento de la solicitud según lo dispuesto por los,"arts. 4º y 11, último párrafo, de la ley 22.955, y 2º de la ley 23.682, con"
329_p3211,329,LibroVol329.3.md,9334,9406,9349,57,72,Carreras,329_p5136,"Vistos los autos: “Monzo, Felipe José c/ ANSeS s/ reajustes varios”.",vistos,,,,,FALLO DE LA CORTE SUPREMA,"Buenos Aires, 15 de agosto de 2006.","Vistos los autos: “Monzo, Felipe José c/ ANSeS s/ reajustes varios”.",Considerando:,1º) Que contra la sentencia de la Sala I de la Cámara Federal de la
329_p3373,329,LibroVol329.3.md,16003,16614,16327,287,611,Rodríguez,329_p1794,"lizado del Ministerio de Obras y Servicios Públicos, con el objeto de",otro,,,,SI,"En el orden local, la Provincia del Neuquén, mediante la ley 1043,","creó el Instituto Provincial de la Vivienda, como organismo descentra-","lizado del Ministerio de Obras y Servicios Públicos, con el objeto de",promover la solución integral del problema habitacional en el ámbito,"de la Provincia, mediante la construcción de viviendas; obras de urba-"
329_p3666,329,LibroVol329.3.md,27347,27613,27535,78,266,Tordo,329_p5611,"y atención de la salud de la población en general, el Poder Ejecutivo",otro,SI,27603,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,"4) Que, con el propósito de lograr un mayor fortalecimiento del","papel protagónico del Estado en lo atinente a la prevención, resguardo","y atención de la salud de la población en general, el Poder Ejecutivo","Nacional dictó el decreto 1269/92, mediante el cual estableció políticas",explícitas en esa área tanto de carácter sustantivo como instrumen-
329_p3848,329,LibroVol329.3.md,34532,34649,34557,92,117,ANSeS,329_p3851,1) Que la actora solicitó a la ANSeS que computara las sumas,otro,,,,,dad”.,Considerando:,1) Que la actora solicitó a la ANSeS que computara las sumas,percibidas en concepto de horas extras en el haber inicial de su jubila-,ción obtenida bajo el régimen de la ley 22.955. Tal pretensión fue re-
329_p3863,329,LibroVol329.3.md,35122,35358,35316,42,236,Estado,329_p3869,te debe requerir informes al Estado Nacional y a la Provincia de,otro,SI,35351,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,resuelva sobre la competencia para entender en estas actuaciones,"por la vía prevista en el art. 127 de la Constitución Nacional, la Cor-",te debe requerir informes al Estado Nacional y a la Provincia de,,3868
329_p3872,329,LibroVol329.3.md,35482,35723,35694,29,241,Valenzuela,329_p5829,efectuó una presentación ante la Dirección de Rentas de la Provincia,otro,,,,,"3) Que del expediente administrativo 1013/97, acompañado como","prueba común de ambas partes, surge que la propia empresa actora",efectuó una presentación ante la Dirección de Rentas de la Provincia,"del Chubut por la cual, por un lado, prestó su conformidad con la de-",terminación de la deuda efectuada sobre el impuesto a los ingresos
329_p3890,329,LibroVol329.3.md,36156,36293,36257,36,137,Rodríguez,329_p5848,miento fabril en jurisdicción de la Provincia de Buenos Aires.,otro,,,,,"del impuesto cuestionado, al no reconocerle la exención consagrada",por las leyes 11.490 y 11.518 en razón de no tener la actora estableci-,miento fabril en jurisdicción de la Provincia de Buenos Aires.,4) Que todo sujeto que pretenda la tutela anticipada proveniente,de una medida precautoria debe acreditar la existencia de verosimili-
329_p3925,329,LibroVol329.3.md,37458,37559,37509,50,101,Civitarreale,329_p993,tuido en el art. 6 del Código Procesal Civil y Comercial de la Nación,otro,SI,37553,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,– II –,Corresponde señalar que la admisión del forum conexitatis esta-,tuido en el art. 6 del Código Procesal Civil y Comercial de la Nación,posibilita la sustanciación ante un mismo magistrado de causas rela-,"cionadas entre sí, y su aplicación constituye una causal de excepción a"
329_p4111,329,LibroVol329.3.md,44483,45377,45150,227,894,Enrique,329_p2547,ésta realizó con el Banco de la Nación; inconductas que involucraron,otro,SI,45227,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,entendió que resultaba responsable IBM por el manejo cuestionable,"por parte de altos funcionarios de la empresa, en la contratación que",ésta realizó con el Banco de la Nación; inconductas que involucraron,injustamente al actor y que incluso provocaron su procesamiento en,"un juzgado penal, en una causa que tuvo una enorme difusión pública,"
329_p4135,329,LibroVol329.3.md,45467,45632,45608,24,165,Parodi,329_p2575,"Chianese, José s/ daños y perjuicios”, dictamen del día de la fecha, a",otro,,,,SI,sustancialmente análogo al que esta Procuración General tuvo opor-,"tunidad de examinar en la causa U.8, L.XXXIX – “Ursina, Angela c/","Chianese, José s/ daños y perjuicios”, dictamen del día de la fecha, a","cuyos fundamentos y conclusiones, en cuanto fueren pertinentes, co-",rresponde remitir brevitatis causae.
329_p4148,329,LibroVol329.3.md,45938,46006,45967,39,68,Olariaga,329_p1209,"pedido que aquella parte formuló a fs. 132/133, para que se libre nuevo",otro,,,,,DE JUSTICIA DE LA NACION,329,"pedido que aquella parte formuló a fs. 132/133, para que se libre nuevo",oficio al Registro de la Propiedad Inmueble de la Provincia de Bue-,"nos Aires, a fin de que remita los antecedentes de dominio de los"
