caso_id,tomo,span,parser_firma,parser_outcome,parser_dictamen,zonif_clasif,zonif_firma,zonif_disp,zonif_cuerpo,zonif_dictamen,concuerda_firma,concuerda_disp,concuerda_dictamen,n_sumario,n_dictamen,n_cuerpo,n_dispositivo,n_firma,n_voto,n_epilogo,n_header,n_intersticio
329_p206,329,213,unanime,desestima,True,fallo_completo,True,True,True,True,True,True,True,40,134,9,2,2,0,6,18,1
329_p212,329,131,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,28,74,2,9,7,0,0,9,1
329_p215,329,103,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,23,0,56,3,9,0,0,9,2
329_p218,329,135,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,13,72,22,6,3,0,5,12,1
329_p222,329,78,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,12,0,43,8,6,0,0,6,2
329_p224,329,175,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,43,61,46,3,5,0,0,15,1
329_p229,329,92,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,16,57,2,6,3,0,0,6,1
329_p231,329,84,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,14,47,2,8,2,0,0,9,1
329_p234,329,100,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,15,62,2,6,3,0,0,9,2
329_p237,329,63,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,8,35,2,6,3,0,0,6,2
329_p239,329,82,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,10,0,50,3,3,0,8,6,1
329_p241,329,87,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,16,39,2,9,2,0,3,7,8
329_p243,329,53,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,7,0,25,6,5,0,4,4,0
329_p244,329,1975,mixed,otro,True,fallo_completo,True,True,True,True,True,True,True,251,69,62,1347,36,1,45,145,18
329_p292,329,179,segun_su_voto,mal_concedido,True,fallo_completo,True,True,True,True,True,True,True,34,99,10,8,4,1,6,15,1
329_p297,329,108,disidencia,otro,True,fallo_completo,True,True,True,True,True,True,True,9,41,12,2,25,1,6,10,1
329_p300,329,139,unanime,confirma,True,fallo_completo,True,True,True,True,True,True,True,24,75,8,8,3,0,7,12,1
329_p304,329,217,unanime,confirma,True,fallo_completo,True,True,True,True,True,True,True,54,121,7,8,2,0,8,15,1
329_p309,329,183,segun_su_voto,otro,False,fallo_completo,True,True,True,False,True,True,True,24,0,29,4,9,1,99,15,1
329_p314,329,112,disidencia,procedente,False,fallo_completo,True,True,True,False,True,True,True,25,0,53,7,7,1,9,9,0
329_p317,329,44,unanime,sin_dispositivo,False,fallo_sin_dispositivo,True,False,True,False,True,True,True,9,0,21,0,2,0,6,3,2
329_p318,329,201,mixed,hace_lugar,False,fallo_completo,True,True,True,False,True,True,True,0,0,134,31,10,4,5,15,2
329_p324,329,71,unanime,desestima,False,fallo_completo,True,True,True,False,True,True,True,15,0,38,2,2,0,6,6,1
329_p326,329,102,segun_su_voto,desestima,False,fallo_completo,True,True,True,False,True,True,True,21,0,33,6,7,1,7,10,16
329_p329,329,29,unanime,desestima,False,fallo_completo,True,True,True,False,True,True,True,0,0,10,2,4,0,6,3,4
329_p330,329,183,disidencia,desestima,False,fallo_completo,True,True,True,False,True,True,True,27,0,109,8,8,1,13,15,1
329_p335,329,295,mixed,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,65,80,78,18,21,3,7,21,1
329_p342,329,236,disidencia,desestima,True,fallo_completo,True,True,True,True,True,True,True,25,78,77,13,10,2,6,21,3
329_p349,329,163,segun_su_voto,otro,False,fallo_completo,True,True,True,False,True,True,True,24,0,112,6,5,1,0,12,2
329_p353,329,201,segun_su_voto,otro,True,fallo_completo,True,True,True,True,True,True,True,33,46,25,15,14,1,48,15,3
329_p358,329,466,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,34,38,84,255,11,0,2,36,5
329_p370,329,111,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,21,69,2,6,2,0,0,9,1
329_p373,329,318,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,53,37,2,197,3,0,0,24,1
329_p381,329,61,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,7,0,35,2,2,0,7,6,1
329_p383,329,56,unanime,desestima,False,fallo_completo,True,True,True,False,True,True,True,8,0,34,2,4,0,0,6,1
329_p385,329,1820,mixed,confirma,True,fallo_completo,True,True,True,True,True,True,True,247,83,436,441,105,4,362,132,9
329_p429,329,66,unanime,nulidad,False,fallo_completo,True,True,True,False,True,True,True,6,0,35,4,3,0,10,6,1
329_p431,329,56,unanime,procedente,False,fallo_completo,True,True,True,False,True,True,True,13,0,25,4,2,0,7,3,1
329_p432,329,206,disidencia,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,27,20,11,52,8,1,54,16,16
329_p437,329,124,segun_su_voto,mal_concedido,False,fallo_completo,True,True,True,False,True,True,True,25,0,49,6,9,2,19,10,3
329_p440,329,168,segun_su_voto,mal_concedido,True,fallo_completo,True,True,True,True,True,True,True,32,27,44,8,5,1,33,15,2
329_p445,329,719,mixed,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,78,129,203,34,174,6,35,55,4
329_p463,329,306,segun_su_voto,procedente,True,fallo_completo,True,True,True,True,True,True,True,38,132,58,7,5,1,34,25,5
329_p471,329,42,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,12,0,11,6,2,0,7,3,0
329_p473,329,748,segun_su_voto,otro,False,fallo_completo,True,True,True,False,True,True,True,76,0,12,25,14,534,25,55,6
329_p491,329,53,segun_su_voto,desestima,False,fallo_completo,True,True,True,False,True,True,True,10,0,13,10,4,1,7,6,1
329_p493,329,66,segun_su_voto,desestima,False,fallo_completo,True,True,True,False,True,True,True,14,0,14,4,7,12,7,6,1
329_p495,329,177,segun_su_voto,desestima,True,fallo_completo,True,True,True,True,True,True,True,11,112,15,6,5,2,8,15,2
329_p500,329,98,unanime,desestima,False,fallo_completo,True,True,True,False,True,True,True,22,0,35,4,5,1,23,6,1
329_p502,329,274,segun_su_voto,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,30,133,57,16,4,1,7,24,1
329_p510,329,94,segun_su_voto,desestima,False,fallo_completo,True,True,True,False,True,True,True,0,0,50,14,7,2,8,9,4
329_p513,329,181,disidencia,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,35,99,13,7,6,1,3,15,1
329_p518,329,295,segun_su_voto,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,19,214,15,12,4,1,4,24,1
329_p526,329,144,disidencia,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,12,6,13,10,8,1,80,12,1
329_p530,329,247,segun_su_voto,hace_lugar,False,fallo_completo,True,True,True,False,True,True,True,8,0,53,32,16,70,45,21,1
329_p537,329,168,disidencia,originaria,False,fallo_completo,True,True,True,False,True,True,True,34,0,79,26,11,1,0,15,1
329_p542,329,90,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,0,0,5,3,5,0,0,6,70
329_p545,329,112,unanime,originaria,False,fallo_completo,True,True,True,False,True,True,True,9,0,80,7,5,0,0,9,1
329_p548,329,108,disidencia,otro,False,fallo_completo,True,True,True,False,True,True,True,10,0,63,14,9,1,0,9,1
329_p551,329,58,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,9,0,30,5,3,0,3,6,1
329_p553,329,271,disidencia,otro,True,fallo_completo,True,True,True,True,True,True,True,25,56,122,16,16,1,12,21,1
329_p560,329,204,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,70,87,5,19,5,0,1,15,1
329_p565,329,81,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,10,45,2,10,3,0,0,9,1
329_p568,329,95,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,15,56,2,11,3,0,0,6,1
329_p570,329,90,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,10,57,2,7,3,0,0,9,1
329_p573,329,106,sin_firma,sin_dispositivo,False,fallo_sin_dispositivo,False,False,True,False,True,True,True,21,0,74,0,0,0,0,9,1
329_p576,329,294,unanime,procedente,True,fallo_completo,True,True,True,True,True,True,True,30,131,87,8,4,0,11,21,1
329_p584,329,464,segun_su_voto,otro,True,fallo_completo,True,True,True,True,True,True,True,56,117,157,66,5,1,26,33,2
329_p595,329,889,unanime,revoca,True,fallo_completo,True,True,True,True,True,True,True,40,11,303,396,2,0,68,66,2
329_p617,329,89,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,15,52,5,6,2,0,0,6,2
329_p619,329,23,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,7,0,5,4,2,0,0,3,1
329_p620,329,55,segun_su_voto,desestima,False,fallo_completo,True,True,True,False,True,True,True,9,0,13,11,7,1,6,6,1
329_p622,329,23,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,5,0,6,5,2,0,0,3,1
329_p623,329,33,unanime,procedente,False,fallo_completo,True,True,True,False,True,True,True,5,0,14,7,2,0,0,3,1
329_p624,329,199,disidencia,revoca,False,fallo_completo,True,True,True,False,True,True,True,31,0,107,10,13,1,19,15,2
329_p629,329,164,unanime,abstracto,True,fallo_completo,True,True,True,True,True,True,True,14,67,54,5,4,0,3,15,1
329_p634,329,209,disidencia,procedente,True,fallo_completo,True,True,True,True,True,True,True,18,138,10,10,8,1,4,16,3
329_p639,329,235,unanime,revoca,True,fallo_completo,True,True,True,True,True,True,True,18,134,30,20,2,0,8,21,1
329_p646,329,920,mixed,otro,True,fallo_completo,True,True,True,True,True,True,True,166,33,202,63,39,5,342,69,0
329_p669,329,401,unanime,confirma,True,fallo_completo,True,True,True,True,True,True,True,37,65,12,84,6,2,163,31,0
329_p679,329,333,segun_su_voto,procedente,False,fallo_completo,True,True,True,False,True,True,True,0,0,68,8,43,1,13,27,172
329_p689,329,235,disidencia,desestima,True,fallo_completo,True,True,True,True,True,True,True,19,139,27,14,7,1,7,19,1
329_p695,329,589,mixed,desestima,True,fallo_completo,True,True,True,True,True,True,True,92,28,93,27,31,6,265,45,1
329_p710,329,194,disidencia,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,18,13,12,15,6,1,109,18,1
329_p716,329,44,segun_su_voto,otro,True,fallo_completo,True,True,True,True,True,True,True,6,5,12,4,6,1,5,3,1
329_p717,329,236,unanime,desestima,True,fallo_completo,True,True,True,True,True,True,True,44,152,8,5,2,0,5,18,1
329_p723,329,232,segun_su_voto,hace_lugar,False,fallo_completo,True,True,True,False,True,True,True,1,0,61,16,3,28,8,18,96
329_p730,329,144,segun_su_voto,desestima,True,fallo_completo,True,True,True,True,True,True,True,18,76,13,10,6,1,6,12,1
329_p734,329,234,mixed,desestima,True,fallo_completo,True,True,True,True,True,True,True,41,105,16,29,9,3,7,21,2
329_p741,329,78,segun_su_voto,desestima,False,fallo_completo,True,True,True,False,True,True,True,17,0,35,6,6,1,5,6,1
329_p743,329,327,disidencia,otro,True,fallo_completo,True,True,True,True,True,True,True,65,74,38,27,12,1,81,27,1
329_p752,329,26,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,5,0,6,3,5,0,2,3,1
329_p753,329,92,unanime,originaria,False,fallo_completo,True,True,True,False,True,True,True,15,0,61,6,2,0,0,7,0
329_p755,329,138,segun_su_voto,otro,False,fallo_completo,True,True,True,False,True,True,True,29,0,48,36,5,2,4,12,1
329_p759,329,540,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,103,36,327,26,6,0,0,39,2
329_p772,329,151,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,17,44,14,14,3,0,44,12,2
329_p776,329,99,unanime,originaria,False,fallo_completo,True,True,True,False,True,True,True,0,0,35,11,6,0,0,9,37
329_p780,329,106,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,18,36,5,29,5,0,2,9,1
329_p783,329,254,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,38,81,104,2,8,0,0,18,2
329_p789,329,117,segun_su_voto,otro,False,fallo_completo,True,True,True,False,True,True,True,22,0,45,1,32,2,4,9,1
329_p792,329,434,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,36,34,227,65,3,0,15,34,19
329_p803,329,58,unanime,otro,False,fallo_completo,True,True,False,False,True,True,True,0,0,0,1,3,0,0,3,51
329_p805,329,127,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,13,45,30,21,4,0,0,12,1
329_p809,329,963,segun_su_voto,otro,True,fallo_completo,True,True,True,True,True,True,True,43,107,285,7,8,2,436,72,2
329_p833,329,181,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,34,50,58,16,2,0,4,15,1
329_p838,329,88,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,22,0,49,3,6,0,0,6,1
329_p840,329,171,disidencia,competencia,True,fallo_completo,True,True,True,True,True,True,True,32,48,2,7,8,57,0,15,1
329_p845,329,83,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,10,53,2,7,3,0,0,6,1
329_p847,329,149,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,27,94,2,10,2,0,0,12,1
329_p851,329,224,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,75,120,2,5,2,0,0,18,1
329_p857,329,95,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,12,57,2,11,3,0,0,9,0
329_p860,329,103,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,17,52,2,18,3,0,0,9,1
329_p863,329,92,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,20,53,2,7,2,0,0,6,1
329_p865,329,107,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,23,63,2,6,2,0,0,9,1
329_p868,329,121,unanime,procedente,False,fallo_completo,True,True,True,False,True,True,True,15,0,78,4,2,0,8,12,1
329_p872,329,297,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,66,0,192,4,3,0,8,22,1
329_p879,329,354,mixed,otro,True,fallo_completo,True,True,True,True,True,True,True,45,86,114,19,36,4,22,27,0
329_p888,329,150,unanime,revoca,True,fallo_completo,True,True,True,True,True,True,True,32,79,8,6,2,0,8,12,2
329_p892,329,246,disidencia,otro,True,fallo_completo,True,True,True,True,True,True,True,25,81,79,16,5,2,15,21,1
329_p899,329,189,disidencia,procedente,True,fallo_completo,True,True,True,True,True,True,True,45,90,12,12,5,1,7,15,1
329_p904,329,43,unanime,procedente,False,fallo_completo,True,True,True,False,True,True,True,0,0,16,5,2,0,9,3,7
329_p906,329,115,disidencia,desestima,True,fallo_completo,True,True,True,True,True,True,True,10,36,13,10,7,1,27,9,1
329_p909,329,633,mixed,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,5,120,209,57,39,5,145,51,1
329_p926,329,81,unanime,hace_lugar,False,fallo_completo,True,True,True,False,True,True,True,21,0,37,5,4,0,6,6,1
329_p928,329,337,unanime,desestima,True,fallo_completo,True,True,True,True,True,True,True,35,72,41,4,10,1,145,27,1
329_p937,329,201,segun_su_voto,otro,True,fallo_completo,True,True,True,True,True,True,True,63,72,11,6,31,1,0,15,1
329_p942,329,366,mixed,originaria,False,fallo_completo,True,True,True,False,True,True,True,49,0,217,25,28,2,16,27,1
329_p951,329,151,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,0,0,115,4,4,0,5,12,10
329_p955,329,135,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,17,46,50,4,4,0,0,12,1
329_p959,329,108,unanime,procedente,False,fallo_completo,True,True,True,False,True,True,True,19,0,62,3,2,0,8,12,1
329_p963,329,363,disidencia,otro,False,fallo_completo,True,True,True,False,True,True,True,36,0,245,18,24,2,10,27,0
329_p972,329,172,unanime,procedente,True,fallo_completo,True,True,True,True,True,True,True,27,113,7,3,3,0,6,12,0
329_p976,329,302,unanime,procedente,False,fallo_completo,True,True,True,False,True,True,True,231,0,13,15,7,0,11,24,0
329_p984,329,149,unanime,procedente,True,fallo_completo,True,True,True,True,True,True,True,11,99,7,3,3,0,6,12,7
329_p988,329,32,unanime,desestima,False,fallo_completo,True,True,True,False,True,True,True,6,0,8,6,3,0,4,3,1
329_p989,329,55,segun_su_voto,otro,False,fallo_completo,True,True,True,False,True,True,True,0,0,21,21,4,1,3,3,2
329_p991,329,40,unanime,sin_dispositivo,False,fallo_sin_dispositivo,True,False,True,False,True,True,True,9,0,15,0,2,0,6,6,1
329_p993,329,150,disidencia,desestima,False,fallo_completo,True,True,True,False,True,True,True,15,0,36,8,6,1,70,12,1
329_p997,329,190,segun_su_voto,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,17,67,60,17,4,1,6,16,1
329_p1002,329,167,unanime,procedente,True,fallo_completo,True,True,True,True,True,True,True,27,94,8,12,3,0,6,15,1
329_p1007,329,195,unanime,procedente,True,fallo_completo,True,True,True,True,True,True,True,38,86,7,19,3,0,25,15,1
329_p1012,329,286,disidencia,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,25,194,10,14,11,2,7,21,1
329_p1019,329,108,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,18,43,26,7,3,0,0,9,1
329_p1022,329,70,unanime,originaria,False,fallo_completo,True,True,True,False,True,True,True,13,0,35,5,9,0,0,6,1
329_p1024,329,128,segun_su_voto,competencia,True,fallo_completo,True,True,True,True,True,True,True,13,41,28,19,9,2,2,12,1
329_p1028,329,94,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,12,41,2,29,2,0,0,6,1
329_p1030,329,79,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,10,46,2,7,4,0,0,9,0
329_p1033,329,92,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,10,56,2,9,7,0,0,6,1
329_p1035,329,161,disidencia,otro,False,fallo_completo,True,True,True,False,True,True,True,12,0,107,14,11,1,0,15,1
329_p1040,329,191,unanime,procedente,True,fallo_completo,True,True,True,True,True,True,True,47,102,7,8,3,0,8,15,0
329_p1045,329,159,disidencia,procedente,True,fallo_completo,True,True,True,True,True,True,True,17,92,12,11,5,1,8,12,0
329_p1049,329,134,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,24,77,9,3,2,0,5,12,1
329_p1053,329,516,segun_su_voto,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,57,293,26,23,62,2,13,39,0
329_p1066,329,998,mixed,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,84,195,237,204,25,7,139,78,27
329_p1092,329,3610,mixed,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,385,54,604,1360,60,6,875,264,1
329_p1180,329,450,segun_su_voto,desestima,True,fallo_completo,True,True,True,True,True,True,True,38,178,18,28,12,2,138,34,1
329_p1191,329,693,segun_su_voto,desestima,True,fallo_completo,True,True,True,True,True,True,True,76,11,267,134,14,4,131,54,1
329_p1209,329,402,disidencia,desestima,True,fallo_completo,True,True,True,True,True,True,True,28,88,30,17,43,2,162,30,1
329_p1219,329,174,disidencia,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,34,91,13,8,4,1,6,15,1
329_p1224,329,91,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,15,0,55,4,3,0,5,6,2
329_p1226,329,382,segun_su_voto,otro,False,fallo_completo,True,True,True,False,True,True,True,71,0,100,9,10,3,156,30,2
329_p1236,329,195,segun_su_voto,otro,True,fallo_completo,True,True,True,True,True,True,True,31,47,54,19,7,1,8,16,11
329_p1241,329,70,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,7,39,2,6,8,0,0,6,1
329_p1243,329,85,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,11,53,2,8,3,0,0,6,1
329_p1245,329,2195,mixed,otro,True,fallo_completo,True,True,True,True,True,True,True,189,85,172,93,346,2,1138,168,1
329_p1301,329,72,unanime,abstracto,False,fallo_completo,True,True,True,False,True,True,True,16,0,28,10,2,0,8,6,1
329_p1303,329,100,unanime,desestima,False,fallo_completo,True,True,True,False,True,True,True,15,0,4,2,63,0,9,6,0
329_p1305,329,37,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,10,0,19,2,2,0,0,3,0
329_p1306,329,33,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,8,0,2,11,2,0,5,3,1
329_p1307,329,69,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,12,0,18,15,6,0,5,7,4
329_p1309,329,53,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,11,0,19,13,3,0,0,4,2
329_p1310,329,11,unanime,otro,False,fallo_completo,True,True,False,False,True,True,True,0,0,0,3,3,0,0,0,5
329_p1311,329,217,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,47,40,14,13,4,0,79,18,1
329_p1317,329,305,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,44,0,111,106,19,0,0,21,3
329_p1324,329,120,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,24,68,2,9,3,0,0,12,1
329_p1328,329,81,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,9,46,2,13,2,0,0,6,2
329_p1330,329,61,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,7,17,2,24,3,0,0,6,1
329_p1332,329,167,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,30,60,2,52,7,0,0,13,2
329_p1336,329,73,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,11,43,2,6,3,0,0,6,1
329_p1338,329,85,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,11,50,2,8,3,0,0,9,1
329_p1341,329,83,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,9,52,2,10,2,0,0,6,1
329_p1343,329,185,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,32,102,4,21,6,0,0,16,2
329_p1348,329,83,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,17,46,2,7,3,0,0,6,1
329_p1350,329,8457,disidencia,procedente,True,fallo_completo,True,True,True,True,True,True,True,3392,87,71,125,2848,1,1878,53,1
329_p1375,329,68,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,10,39,2,7,2,0,0,6,1
329_p1377,329,122,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,17,82,2,6,4,0,0,9,1
329_p1380,329,109,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,8,30,4,22,7,0,26,10,0
329_p1383,329,89,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,9,62,2,6,2,0,0,6,1
329_p1385,329,130,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,27,54,2,30,3,0,0,12,1
329_p1389,329,82,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,10,48,2,12,2,0,0,6,1
329_p1391,329,247,unanime,procedente,True,fallo_completo,True,True,True,True,True,True,True,50,156,9,5,2,0,5,18,1
329_p1397,329,66,unanime,mal_concedido,False,fallo_completo,True,True,True,False,True,True,True,10,0,32,3,4,0,10,6,0
329_p1399,329,718,segun_su_voto,hace_lugar,False,fallo_completo,True,True,True,False,True,True,True,76,0,316,8,15,1,246,54,1
