caso_id_canonico,marco,origen_b,doble_cod,spotcheck_estruct,source_file,linea_inicio,linea_fin_real,parser_outcome,parser_causa_inadmisibilidad,parser_es_queja,parser_queja_resultado,parser_tipo_cuestion_federal
329_p297,B,outcome=inadmisible|causa_inadmisibilidad=FALTA_SENTENCIA_DEFINITIVA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol329.1.md,11122,11228,inadmisible,FALTA_SENTENCIA_DEFINITIVA,0,,cuestion_federal
329_p3129,A,,0,1,LibroVol329.3.md,6274,6457,hace_lugar,,1,hace_lugar,arbitrariedad
329_p3203,A,,0,0,LibroVol329.3.md,9061,9193,revoca,,0,,
329_p3213,A,,0,0,LibroVol329.3.md,9428,9482,confirma,,0,,
329_p3388,A,,0,1,LibroVol329.3.md,16632,17035,confirma,,0,,cuestion_federal
329_p3444,B,outcome=sin_dispositivo|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.3.md,18877,18922,sin_dispositivo,,0,,
329_p3537,B,outcome=desierto|causa_inadmisibilidad=INADMISIBLE_SIN_CAUSAL_EXPLICITA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.3.md,22356,22559,desierto,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
329_p3542,B,outcome=desierto|causa_inadmisibilidad=INADMISIBLE_SIN_CAUSAL_EXPLICITA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.3.md,22560,22747,desierto,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
329_p3600,B,outcome=improcedente|causa_inadmisibilidad=INADMISIBLE_SIN_CAUSAL_EXPLICITA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=mixto,0,0,LibroVol329.3.md,24796,25253,improcedente,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,mixto
329_p3611,B,outcome=caducidad|causa_inadmisibilidad=CADUCIDAD_INSTANCIA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.3.md,25254,25413,caducidad,CADUCIDAD_INSTANCIA,0,,
329_p3616,B,outcome=caducidad|causa_inadmisibilidad=CADUCIDAD_INSTANCIA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol329.3.md,25414,25472,caducidad,CADUCIDAD_INSTANCIA,0,,cuestion_federal
329_p3757,A,,0,0,LibroVol329.3.md,31020,31164,hace_lugar,,1,hace_lugar,arbitrariedad
329_p381,A,,0,1,LibroVol329.1.md,14288,14348,desierto,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
329_p383,B,causa_inadmisibilidad=RESOLUCION_NO_RECURRIBLE|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.1.md,14349,14404,desestima,RESOLUCION_NO_RECURRIBLE,0,,
329_p3834,A,,0,0,LibroVol329.3.md,34048,34209,otro,,0,,cuestion_federal
329_p3846,A,,0,0,LibroVol329.3.md,34462,34531,competencia,,0,,
329_p3855,B,queja_resultado=rechaza|tipo_cuestion_federal=arbitrariedad,0,0,LibroVol329.3.md,34827,35121,rechaza,,1,rechaza,arbitrariedad
329_p3869,B,queja_resultado=rechaza|tipo_cuestion_federal=VACIO,0,0,LibroVol329.3.md,35361,35431,rechaza,,1,rechaza,
329_p3931,A,,0,0,LibroVol329.3.md,37666,37707,competencia,,0,,
329_p3956,A,,0,0,LibroVol329.3.md,38562,38941,procedente,,0,,arbitrariedad
329_p4007,A,,0,0,LibroVol329.3.md,40570,41063,procedente,,0,,cuestion_federal
329_p4058,B,outcome=improcedente|causa_inadmisibilidad=INADMISIBLE_SIN_CAUSAL_EXPLICITA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=arbitrariedad,0,0,LibroVol329.3.md,42529,42823,improcedente,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,arbitrariedad
329_p4083,B,queja_resultado=rechaza|tipo_cuestion_federal=VACIO,0,0,LibroVol329.3.md,43504,43631,rechaza,,1,rechaza,
329_p4094,A,,0,0,LibroVol329.3.md,43901,43950,desestima,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
329_p4098,B,causa_inadmisibilidad=RESOLUCION_NO_RECURRIBLE|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.3.md,44031,44057,desestima,RESOLUCION_NO_RECURRIBLE,0,,
329_p4134,B,outcome=desistimiento|causa_inadmisibilidad=DESISTIMIENTO|es_queja=1|queja_resultado=desistida|tipo_cuestion_federal=VACIO,0,0,LibroVol329.3.md,45437,45471,desistimiento,DESISTIMIENTO,1,desistida,
329_p4135,B,outcome=sin_dispositivo|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol329.3.md,45472,45641,sin_dispositivo,,0,,cuestion_federal
329_p4161,A,,0,0,LibroVol329.3.md,46425,46707,rechaza,,0,,
329_p4178,A,,0,0,LibroVol329.3.md,47077,47182,originaria,,0,,
329_p429,B,outcome=nulidad|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=mixto,0,0,LibroVol329.1.md,16225,16290,nulidad,,0,,mixto
329_p4337,A,,0,0,LibroVol329.3.md,53019,53106,competencia,,0,,
329_p4342,A,,1,0,LibroVol329.3.md,53204,53315,otro,,0,,
329_p4352,A,,0,1,LibroVol329.3.md,53542,53676,desestima,INADMISIBLE_REMITE_DICTAMEN,1,desestima,
329_p4355,A,,1,0,LibroVol329.3.md,53677,53708,desestima,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1,desestima,
329_p437,B,outcome=mal_concedido|causa_inadmisibilidad=INADMISIBLE_SIN_CAUSAL_EXPLICITA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=arbitrariedad,0,0,LibroVol329.1.md,16523,16625,mal_concedido,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,arbitrariedad
329_p4394,B,outcome=rechaza|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.3.md,55099,55156,rechaza,,0,,
329_p4426,B,queja_resultado=inadmisible|tipo_cuestion_federal=VACIO,0,0,LibroVol329.3.md,56261,56398,inadmisible_280,ART_280,1,inadmisible,
329_p4447,A,,0,1,LibroVol329.3.md,57048,57108,otro,,0,,
329_p4481,A,,0,0,LibroVol329.3.md,58331,58436,competencia,,0,,
329_p4524,A,,0,0,LibroVol329.3.md,59966,60207,procedente,,0,,arbitrariedad
329_p4535,A,,0,0,LibroVol329.3.md,60387,60629,desestima,INADMISIBLE_REMITE_DICTAMEN,0,,cuestion_federal
329_p4570,B,outcome=confirma|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=cuestion_federal,1,0,LibroVol329.3.md,61742,62017,confirma,,0,,cuestion_federal
329_p4590,B,outcome=sin_dispositivo|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.3.md,62496,62582,sin_dispositivo,,0,,
329_p4717,A,,0,0,LibroVol329.3.md,67347,67814,abstracto,CUESTION_ABSTRACTA,0,,mixto
329_p472,A,,0,0,LibroVol329.1.md,17804,17820,deja_sin_efecto,,0,,
329_p473,A,,0,0,LibroVol329.1.md,17849,18582,revoca,,1,hace_lugar,cuestion_federal
329_p4730,B,outcome=inadmisible_280|causa_inadmisibilidad=ART_280|es_queja=1|queja_resultado=desestima|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol329.3.md,67862,68285,inadmisible_280,ART_280,1,desestima,cuestion_federal
329_p4741,A,,0,0,LibroVol329.3.md,68286,68859,hace_lugar,,1,hace_lugar,arbitrariedad
329_p4762,A,,0,0,LibroVol329.3.md,69100,69373,hace_lugar,,1,hace_lugar,cuestion_federal
329_p4783,B,queja_resultado=rechaza|tipo_cuestion_federal=arbitrariedad,0,0,LibroVol329.3.md,69861,70080,rechaza,,1,rechaza,arbitrariedad
329_p4822,A,,0,0,LibroVol329.3.md,71311,71472,originaria,,0,,
329_p4845,A,,0,0,LibroVol329.3.md,72186,72287,competencia,,0,,cuestion_federal
329_p4902,A,,1,0,LibroVol329.4.md,501,689,inadmisible_280,ART_280,1,desestima,
329_p4990,A,,0,0,LibroVol329.4.md,3900,3980,competencia,,0,,
329_p5007,A,,0,0,LibroVol329.4.md,4481,4624,revoca,,0,,
329_p5023,B,outcome=abstracto|causa_inadmisibilidad=CUESTION_ABSTRACTA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.4.md,5106,5243,abstracto,CUESTION_ABSTRACTA,0,,
329_p5064,A,,0,0,LibroVol329.4.md,6700,6857,procedente,,0,,cuestion_federal
329_p5089,B,causa_inadmisibilidad=FALTA_SENTENCIA_DEFINITIVA|es_queja=1|queja_resultado=desestima|tipo_cuestion_federal=VACIO,0,0,LibroVol329.4.md,7614,7701,desestima,FALTA_SENTENCIA_DEFINITIVA,1,desestima,
329_p5098,B,queja_resultado=abstracta|tipo_cuestion_federal=VACIO,0,0,LibroVol329.4.md,7953,8111,abstracto,CUESTION_ABSTRACTA,1,abstracta,
329_p5115,A,,0,0,LibroVol329.4.md,8583,8884,procedente,,1,admisible,arbitrariedad
329_p5138,B,causa_inadmisibilidad=RESOLUCION_NO_RECURRIBLE|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.4.md,9434,9481,desestima,RESOLUCION_NO_RECURRIBLE,0,,
329_p5151,B,outcome=sin_dispositivo|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.4.md,9969,10183,sin_dispositivo,,0,,
329_p5198,A,,0,0,LibroVol329.4.md,11738,11934,desierto,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
329_p5227,A,,0,0,LibroVol329.4.md,12851,13135,desestima,INADMISIBLE_REMITE_DICTAMEN,0,,
329_p5234,A,,0,0,LibroVol329.4.md,13136,13317,procedente,,0,,arbitrariedad
329_p53,A,,0,0,LibroVol329.1.md,1846,2057,hace_lugar,,0,,cuestion_federal
329_p5310,A,,0,0,LibroVol329.4.md,16167,16391,hace_lugar,,1,hace_lugar,mixto
329_p5319,B,causa_inadmisibilidad=FALTA_FUNDAMENTACION_AUTONOMA|es_queja=1|queja_resultado=desestima|tipo_cuestion_federal=VACIO,0,0,LibroVol329.4.md,16497,16664,desestima,FALTA_FUNDAMENTACION_AUTONOMA,1,desestima,
329_p5336,A,,0,0,LibroVol329.4.md,17125,17406,otro,,0,,cuestion_federal
329_p5368,A,,0,0,LibroVol329.4.md,18306,18557,procedente,,0,,mixto
329_p5377,B,outcome=inadmisible|causa_inadmisibilidad=INADMISIBLE_REMITE_DICTAMEN|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol329.4.md,18641,18810,inadmisible,INADMISIBLE_REMITE_DICTAMEN,0,,cuestion_federal
329_p5619,B,causa_inadmisibilidad=FALTA_SENTENCIA_DEFINITIVA|es_queja=1|queja_resultado=desestima|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol329.4.md,27704,27754,desestima,FALTA_SENTENCIA_DEFINITIVA,1,desestima,cuestion_federal
329_p5655,B,causa_inadmisibilidad=FALTA_SENTENCIA_DEFINITIVA|es_queja=1|queja_resultado=desestima|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol329.4.md,29065,29197,desestima,FALTA_SENTENCIA_DEFINITIVA,1,desestima,cuestion_federal
329_p5670,A,,0,0,LibroVol329.4.md,29638,29794,otro,,0,,
329_p5728,A,,0,0,LibroVol329.4.md,31673,31758,competencia,,0,,
329_p5789,A,,0,0,LibroVol329.4.md,33943,33993,desestima,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
329_p5848,A,,0,0,LibroVol329.4.md,36142,36252,competencia,,0,,
329_p5857,B,queja_resultado=agreguese|tipo_cuestion_federal=arbitrariedad,0,0,LibroVol329.4.md,36467,36612,deja_sin_efecto,,1,agreguese,arbitrariedad
329_p5870,B,outcome=desistimiento|causa_inadmisibilidad=DESISTIMIENTO|es_queja=1|queja_resultado=desistida|tipo_cuestion_federal=VACIO,0,0,LibroVol329.4.md,36936,36984,desistimiento,DESISTIMIENTO,1,desistida,
329_p5871,A,,0,0,LibroVol329.4.md,36985,37258,hace_lugar,,0,,
329_p5896,B,outcome=improcedente|causa_inadmisibilidad=INADMISIBLE_REMITE_DICTAMEN|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.4.md,37897,38050,improcedente,INADMISIBLE_REMITE_DICTAMEN,0,,
329_p5989,B,outcome=inadmisible_280|causa_inadmisibilidad=ART_280|es_queja=1|queja_resultado=desestima|tipo_cuestion_federal=VACIO,0,0,LibroVol329.4.md,41466,41646,inadmisible_280,ART_280,1,desestima,
329_p5994,A,,0,0,LibroVol329.4.md,41646,41951,hace_lugar,,1,hace_lugar,mixto
329_p6050,A,,1,0,LibroVol329.4.md,43764,43848,competencia,,0,,
329_p6068,A,,0,0,LibroVol329.4.md,44391,44496,procedente,,0,,
329_p6071,B,outcome=desierto|causa_inadmisibilidad=INADMISIBLE_SIN_CAUSAL_EXPLICITA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.4.md,44497,44545,desierto,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
329_p963,B,outcome=desierto|causa_inadmisibilidad=INADMISIBLE_SIN_CAUSAL_EXPLICITA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.1.md,36344,36706,desierto,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
329_p976,B,queja_resultado=procedente|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol329.1.md,36879,37164,procedente,,1,procedente,cuestion_federal
329_p991,B,outcome=sin_dispositivo|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.1.md,37434,37473,sin_dispositivo,,0,,
330_p1013,B,outcome=improcedente|causa_inadmisibilidad=INADMISIBLE_REMITE_DICTAMEN|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol330.1.md,38769,38864,improcedente,INADMISIBLE_REMITE_DICTAMEN,0,,cuestion_federal
330_p1043,A,,0,0,LibroVol330.1.md,39866,39897,desestima,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1,desestima,
330_p1083,B,outcome=inadmisible_280|causa_inadmisibilidad=ART_280|es_queja=1|queja_resultado=desestima|tipo_cuestion_federal=arbitrariedad,0,0,LibroVol330.1.md,41372,41556,inadmisible_280,ART_280,1,desestima,arbitrariedad
330_p1088,B,causa_inadmisibilidad=FALTA_FUNDAMENTACION_AUTONOMA|es_queja=1|queja_resultado=desestima|tipo_cuestion_federal=VACIO,0,0,LibroVol330.1.md,41557,41773,desestima,FALTA_FUNDAMENTACION_AUTONOMA,1,desestima,
330_p1158,B,outcome=originaria|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol330.1.md,44305,44653,originaria,,0,,
330_p1172,B,outcome=sin_dispositivo|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol330.1.md,44850,44935,sin_dispositivo,,0,,
330_p1179,A,,0,0,LibroVol330.1.md,45073,45138,competencia,,0,,
330_p1303,A,,0,0,LibroVol330.1.md,49700,49765,competencia,,0,,
330_p1375,B,outcome=deja_sin_efecto|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol330.2.md,1984,2034,deja_sin_efecto,,0,,
330_p1465,A,,1,0,LibroVol330.2.md,5372,5503,hace_lugar,,1,hace_lugar,mixto
330_p1469,B,queja_resultado=agreguese|tipo_cuestion_federal=arbitrariedad,0,0,LibroVol330.2.md,5504,5693,deja_sin_efecto,,1,agreguese,arbitrariedad
330_p1525,B,queja_resultado=suspendida|tipo_cuestion_federal=VACIO,0,0,LibroVol330.2.md,7603,7645,otro,,1,suspendida,
330_p1534,B,queja_resultado=rechaza|tipo_cuestion_federal=mixto,0,0,LibroVol330.2.md,7918,8139,rechaza,,1,rechaza,mixto
330_p1564,B,queja_resultado=rechaza|tipo_cuestion_federal=VACIO,0,0,LibroVol330.2.md,9087,9173,rechaza,,1,rechaza,
330_p164,B,outcome=deja_sin_efecto|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=mixto,0,0,LibroVol330.1.md,5968,6146,deja_sin_efecto,,0,,mixto
330_p1642,B,outcome=sin_dispositivo|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol330.2.md,11988,12012,sin_dispositivo,,0,,
330_p182,A,,0,1,LibroVol330.1.md,6631,6726,desestima,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
330_p1854,B,outcome=caducidad|causa_inadmisibilidad=CADUCIDAD_INSTANCIA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=cuestion_federal,1,0,LibroVol330.2.md,20165,20223,caducidad,CADUCIDAD_INSTANCIA,0,,cuestion_federal
330_p1907,A,,0,0,LibroVol330.2.md,22259,22370,otro,,0,,arbitrariedad
330_p1987,B,outcome=abstracto|causa_inadmisibilidad=CUESTION_ABSTRACTA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol330.2.md,25292,25348,abstracto,CUESTION_ABSTRACTA,0,,
330_p2014,A,,0,1,LibroVol330.2.md,26376,26493,desestima,INADMISIBLE_REMITE_DICTAMEN,1,desestima,
330_p2081,A,,0,0,LibroVol330.2.md,28877,29215,procedente,,0,,cuestion_federal
330_p2101,B,outcome=improcedente|causa_inadmisibilidad=INADMISIBLE_SIN_CAUSAL_EXPLICITA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=arbitrariedad,0,0,LibroVol330.2.md,29603,30059,improcedente,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,arbitrariedad
330_p2231,B,causa_inadmisibilidad=FALTA_SENTENCIA_DEFINITIVA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol330.2.md,34562,34665,inadmisible,FALTA_SENTENCIA_DEFINITIVA,0,,cuestion_federal
330_p2345,A,,0,0,LibroVol330.2.md,38880,38952,competencia,,0,,
330_p238,A,,0,0,LibroVol330.1.md,8645,8721,otro,,0,,
330_p24,A,,0,0,LibroVol330.1.md,768,859,competencia,,0,,
330_p2434,B,outcome=improcedente|causa_inadmisibilidad=INADMISIBLE_REMITE_DICTAMEN|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol330.2.md,42478,42748,improcedente,INADMISIBLE_REMITE_DICTAMEN,0,,cuestion_federal
330_p2445,A,,0,0,LibroVol330.2.md,42857,43117,inadmisible_280,ART_280,0,,arbitrariedad
330_p246,A,,0,0,LibroVol330.1.md,8920,9025,competencia,,0,,
330_p2470,A,,0,1,LibroVol330.2.md,43829,44153,originaria,,0,,cuestion_federal
330_p2520,A,,0,0,LibroVol330.2.md,45723,45745,otro,,0,,
330_p2574,B,causa_inadmisibilidad=FUERA_DE_TERMINO|es_queja=1|queja_resultado=desestima|tipo_cuestion_federal=VACIO,0,0,LibroVol330.2.md,47785,47824,desestima,FUERA_DE_TERMINO,1,desestima,
330_p2599,B,outcome=inadmisible_280|causa_inadmisibilidad=ART_280|es_queja=1|queja_resultado=desestima|tipo_cuestion_federal=mixto,0,0,LibroVol330.2.md,48752,49147,inadmisible_280,ART_280,1,desestima,mixto
330_p2610,B,outcome=originaria|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol330.2.md,49148,49444,originaria,,0,,cuestion_federal
330_p2794,B,outcome=sin_dispositivo|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol330.2.md,56324,56344,sin_dispositivo,,0,,
330_p287,B,outcome=mal_concedido|causa_inadmisibilidad=INADMISIBLE_SIN_CAUSAL_EXPLICITA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol330.1.md,10446,10499,mal_concedido,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
330_p2900,A,,0,0,LibroVol330.3.md,972,1028,desestima,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1,desestima,cuestion_federal
330_p2915,A,,0,0,LibroVol330.3.md,1551,1762,otro,,1,admisible,cuestion_federal
330_p2921,B,causa_inadmisibilidad=FALTA_FUNDAMENTACION_AUTONOMA|es_queja=1|queja_resultado=desestima|tipo_cuestion_federal=arbitrariedad,0,0,LibroVol330.3.md,1763,2025,desestima,FALTA_FUNDAMENTACION_AUTONOMA,1,desestima,arbitrariedad
